Using Master Port: 27673
Autodetected device type: cuda
Target examples per step: 32
Device batch size: 4
Examples per step is device_batch_size * ddp_world_size: 8
=> Setting grad accum steps: 4
Scaling the LR for the AdamW parameters ∝1/√(1664/768) = 0.679366
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([26]), sliced=False
AdamW: 1 param of shape torch.Size([26]), sliced=False
Muon: 13 params of shape torch.Size([13, 32]), chunk_size=7
Muon: 104 params of shape torch.Size([1664, 1664]), chunk_size=52
Muon: 26 params of shape torch.Size([1664, 6656]), chunk_size=13
Muon: 26 params of shape torch.Size([6656, 1664]), chunk_size=13
Step 00000 | Validation loss: 0.791633
Step 00000/00701 | Training loss: 0.460109| lrm: 1.000000| num_tokens: 9,256
Step 00021/00701 | Training loss: 0.656198| lrm: 0.970043| num_tokens: 14,229
Step 00022/00701 | Training loss: 0.618050| lrm: 0.968616| num_tokens: 10,116
Step 00023/00701 | Training loss: 0.527886| lrm: 0.967190| num_tokens: 11,300
Step 00024/00701 | Training loss: 0.358523| lrm: 0.965763| num_tokens: 8,767
Step 00025/00701 | Training loss: 0.757258| lrm: 0.964337| num_tokens: 13,852
Step 00026/00701 | Training loss: 0.608028| lrm: 0.962910| num_tokens: 13,584
Step 00027/00701 | Training loss: 0.575204| lrm: 0.961484| num_tokens: 15,811
Step 00028/00701 | Training loss: 0.537229| lrm: 0.960057| num_tokens: 11,711
Step 00029/00701 | Training loss: 0.477803| lrm: 0.958631| num_tokens: 15,560
Step 00030/00701 | Training loss: 0.711810| lrm: 0.957204| num_tokens: 13,706
Step 00031/00701 | Training loss: 0.587943| lrm: 0.955777| num_tokens: 10,480
Step 00032/00701 | Training loss: 0.398108| lrm: 0.954351| num_tokens: 10,996
Step 00033/00701 | Training loss: 0.571669| lrm: 0.952924| num_tokens: 12,816
Step 00034/00701 | Training loss: 0.599302| lrm: 0.951498| num_tokens: 14,202
Step 00035/00701 | Training loss: 0.754831| lrm: 0.950071| num_tokens: 9,657
Step 00036/00701 | Training loss: 0.591208| lrm: 0.948645| num_tokens: 8,998
Step 00037/00701 | Training loss: 0.670005| lrm: 0.947218| num_tokens: 15,912
Step 00038/00701 | Training loss: 0.374031| lrm: 0.945792| num_tokens: 12,802
Step 00039/00701 | Training loss: 0.428236| lrm: 0.944365| num_tokens: 10,686
Step 00040/00701 | Training loss: 0.664154| lrm: 0.942939| num_tokens: 10,745
Step 00041/00701 | Training loss: 0.463161| lrm: 0.941512| num_tokens: 9,486
Step 00042/00701 | Training loss: 0.650938| lrm: 0.940086| num_tokens: 12,807
Step 00043/00701 | Training loss: 0.795009| lrm: 0.938659| num_tokens: 14,955
Step 00044/00701 | Training loss: 0.596811| lrm: 0.937233| num_tokens: 12,047
Step 00045/00701 | Training loss: 0.310643| lrm: 0.935806| num_tokens: 10,546
Step 00046/00701 | Training loss: 0.337864| lrm: 0.934379| num_tokens: 11,886
Step 00047/00701 | Training loss: 0.415276| lrm: 0.932953| num_tokens: 12,793
Step 00048/00701 | Training loss: 0.617313| lrm: 0.931526| num_tokens: 7,893
Step 00049/00701 | Training loss: 0.723880| lrm: 0.930100| num_tokens: 11,934
Step 00050/00701 | Training loss: 0.450865| lrm: 0.928673| num_tokens: 7,943
Step 00051/00701 | Training loss: 0.516308| lrm: 0.927247| num_tokens: 10,088
Step 00052/00701 | Training loss: 0.463881| lrm: 0.925820| num_tokens: 8,329
Step 00053/00701 | Training loss: 0.607072| lrm: 0.924394| num_tokens: 9,957
Step 00054/00701 | Training loss: 0.505993| lrm: 0.922967| num_tokens: 10,858
Step 00055/00701 | Training loss: 0.554975| lrm: 0.921541| num_tokens: 10,128
Step 00056/00701 | Training loss: 0.661442| lrm: 0.920114| num_tokens: 9,511
Step 00057/00701 | Training loss: 0.681401| lrm: 0.918688| num_tokens: 16,249
Step 00058/00701 | Training loss: 0.631156| lrm: 0.917261| num_tokens: 11,180
Step 00059/00701 | Training loss: 0.763737| lrm: 0.915835| num_tokens: 14,785
Step 00060/00701 | Training loss: 0.942640| lrm: 0.914408| num_tokens: 16,167
Step 00061/00701 | Training loss: 0.552901| lrm: 0.912981| num_tokens: 9,678
Step 00062/00701 | Training loss: 0.635645| lrm: 0.911555| num_tokens: 13,330
Step 00063/00701 | Training loss: 0.588952| lrm: 0.910128| num_tokens: 8,720
Step 00064/00701 | Training loss: 0.538967| lrm: 0.908702| num_tokens: 7,542
Step 00065/00701 | Training loss: 0.664752| lrm: 0.907275| num_tokens: 15,292
Step 00066/00701 | Training loss: 0.660407| lrm: 0.905849| num_tokens: 12,147
Step 00067/00701 | Training loss: 0.646100| lrm: 0.904422| num_tokens: 12,552
Step 00068/00701 | Training loss: 0.677818| lrm: 0.902996| num_tokens: 9,038
Step 00069/00701 | Training loss: 0.478469| lrm: 0.901569| num_tokens: 11,074
Step 00070/00701 | Training loss: 0.683527| lrm: 0.900143| num_tokens: 15,362
Step 00071/00701 | Training loss: 0.755157| lrm: 0.898716| num_tokens: 12,418
Step 00072/00701 | Training loss: 0.544987| lrm: 0.897290| num_tokens: 9,816
Step 00073/00701 | Training loss: 0.975327| lrm: 0.895863| num_tokens: 13,411
Step 00074/00701 | Training loss: 0.544598| lrm: 0.894437| num_tokens: 11,219
Step 00075/00701 | Training loss: 0.598748| lrm: 0.893010| num_tokens: 7,933
Step 00076/00701 | Training loss: 0.599929| lrm: 0.891583| num_tokens: 11,508
Step 00077/00701 | Training loss: 0.597624| lrm: 0.890157| num_tokens: 13,285
Step 00078/00701 | Training loss: 0.521577| lrm: 0.888730| num_tokens: 10,327
Step 00079/00701 | Training loss: 0.550382| lrm: 0.887304| num_tokens: 10,498
Step 00080/00701 | Training loss: 0.195887| lrm: 0.885877| num_tokens: 9,386
Step 00081/00701 | Training loss: 0.907127| lrm: 0.884451| num_tokens: 10,398
Step 00082/00701 | Training loss: 0.924071| lrm: 0.883024| num_tokens: 10,526
Step 00083/00701 | Training loss: 0.458060| lrm: 0.881598| num_tokens: 12,774
Step 00084/00701 | Training loss: 0.558706| lrm: 0.880171| num_tokens: 10,756
Step 00085/00701 | Training loss: 0.690020| lrm: 0.878745| num_tokens: 10,655
Step 00086/00701 | Training loss: 0.366911| lrm: 0.877318| num_tokens: 10,975
Step 00087/00701 | Training loss: 0.334389| lrm: 0.875892| num_tokens: 9,434
Step 00088/00701 | Training loss: 0.603571| lrm: 0.874465| num_tokens: 11,565
Step 00089/00701 | Training loss: 0.518714| lrm: 0.873039| num_tokens: 10,104
Step 00090/00701 | Training loss: 0.739406| lrm: 0.871612| num_tokens: 12,786
Step 00091/00701 | Training loss: 0.444607| lrm: 0.870185| num_tokens: 5,994
Step 00092/00701 | Training loss: 0.806373| lrm: 0.868759| num_tokens: 12,771
Step 00093/00701 | Training loss: 0.584874| lrm: 0.867332| num_tokens: 12,633
Step 00094/00701 | Training loss: 0.596285| lrm: 0.865906| num_tokens: 15,651
Step 00095/00701 | Training loss: 0.839848| lrm: 0.864479| num_tokens: 8,968
Step 00096/00701 | Training loss: 0.359186| lrm: 0.863053| num_tokens: 8,328
Step 00097/00701 | Training loss: 0.505589| lrm: 0.861626| num_tokens: 8,984
Step 00098/00701 | Training loss: 0.575421| lrm: 0.860200| num_tokens: 11,510
Step 00099/00701 | Training loss: 0.701484| lrm: 0.858773| num_tokens: 13,996
Step 00100 | Validation loss: 0.800091
Step 00100/00701 | Training loss: 0.617459| lrm: 0.857347| num_tokens: 13,424
Step 00101/00701 | Training loss: 0.472199| lrm: 0.855920| num_tokens: 12,023
Step 00102/00701 | Training loss: 1.029527| lrm: 0.854494| num_tokens: 12,892
Step 00103/00701 | Training loss: 0.442510| lrm: 0.853067| num_tokens: 11,807
Step 00104/00701 | Training loss: 0.851953| lrm: 0.851641| num_tokens: 12,360
Step 00105/00701 | Training loss: 0.342290| lrm: 0.850214| num_tokens: 9,011
Step 00106/00701 | Training loss: 0.524410| lrm: 0.848787| num_tokens: 9,140
Step 00107/00701 | Training loss: 0.784441| lrm: 0.847361| num_tokens: 11,014
Step 00108/00701 | Training loss: 0.800594| lrm: 0.845934| num_tokens: 12,334
Step 00109/00701 | Training loss: 0.401096| lrm: 0.844508| num_tokens: 11,003
Step 00110/00701 | Training loss: 0.580863| lrm: 0.843081| num_tokens: 7,784
Step 00111/00701 | Training loss: 0.444603| lrm: 0.841655| num_tokens: 13,697
Step 00112/00701 | Training loss: 0.608597| lrm: 0.840228| num_tokens: 12,853
Step 00113/00701 | Training loss: 0.561868| lrm: 0.838802| num_tokens: 14,214
Step 00114/00701 | Training loss: 0.372512| lrm: 0.837375| num_tokens: 12,315
Step 00115/00701 | Training loss: 0.340780| lrm: 0.835949| num_tokens: 10,728
Step 00116/00701 | Training loss: 0.448774| lrm: 0.834522| num_tokens: 8,886
Step 00117/00701 | Training loss: 0.681283| lrm: 0.833096| num_tokens: 11,553
Step 00118/00701 | Training loss: 1.007190| lrm: 0.831669| num_tokens: 8,536
Step 00119/00701 | Training loss: 1.070925| lrm: 0.830243| num_tokens: 8,228
Step 00120/00701 | Training loss: 0.528181| lrm: 0.828816| num_tokens: 9,239
Step 00121/00701 | Training loss: 0.770085| lrm: 0.827389| num_tokens: 17,257
Step 00122/00701 | Training loss: 0.622798| lrm: 0.825963| num_tokens: 10,358
Step 00123/00701 | Training loss: 0.659885| lrm: 0.824536| num_tokens: 6,053
Step 00124/00701 | Training loss: 0.748174| lrm: 0.823110| num_tokens: 14,130
Step 00125/00701 | Training loss: 0.548926| lrm: 0.821683| num_tokens: 12,558
Step 00126/00701 | Training loss: 0.616051| lrm: 0.820257| num_tokens: 11,967
Step 00127/00701 | Training loss: 0.364721| lrm: 0.818830| num_tokens: 12,097
Step 00128/00701 | Training loss: 0.722443| lrm: 0.817404| num_tokens: 10,344
Step 00129/00701 | Training loss: 0.359277| lrm: 0.815977| num_tokens: 11,272
Step 00130/00701 | Training loss: 1.537891| lrm: 0.814551| num_tokens: 9,875
Step 00131/00701 | Training loss: 0.919832| lrm: 0.813124| num_tokens: 11,904
Step 00132/00701 | Training loss: 0.484767| lrm: 0.811698| num_tokens: 11,215
Step 00133/00701 | Training loss: 0.588328| lrm: 0.810271| num_tokens: 14,469
Step 00134/00701 | Training loss: 0.398374| lrm: 0.808845| num_tokens: 10,876
Step 00135/00701 | Training loss: 0.963337| lrm: 0.807418| num_tokens: 12,285
Step 00136/00701 | Training loss: 0.632218| lrm: 0.805991| num_tokens: 6,641
Step 00137/00701 | Training loss: 0.473977| lrm: 0.804565| num_tokens: 9,953
Step 00138/00701 | Training loss: 0.299912| lrm: 0.803138| num_tokens: 8,231
Step 00139/00701 | Training loss: 0.818807| lrm: 0.801712| num_tokens: 8,035
Step 00140/00701 | Training loss: 0.526832| lrm: 0.800285| num_tokens: 15,148
Step 00141/00701 | Training loss: 0.556976| lrm: 0.798859| num_tokens: 15,376
Step 00142/00701 | Training loss: 0.380925| lrm: 0.797432| num_tokens: 10,166
Step 00143/00701 | Training loss: 0.699726| lrm: 0.796006| num_tokens: 9,652
Step 00144/00701 | Training loss: 0.664542| lrm: 0.794579| num_tokens: 10,551
Step 00145/00701 | Training loss: 0.522175| lrm: 0.793153| num_tokens: 10,809
Step 00146/00701 | Training loss: 0.565313| lrm: 0.791726| num_tokens: 10,709
Step 00147/00701 | Training loss: 0.590101| lrm: 0.790300| num_tokens: 11,856
Step 00148/00701 | Training loss: 0.573475| lrm: 0.788873| num_tokens: 12,369
Step 00149/00701 | Training loss: 0.568370| lrm: 0.787447| num_tokens: 13,794
Step 00150/00701 | Training loss: 0.971892| lrm: 0.786020| num_tokens: 15,562
Step 00151/00701 | Training loss: 0.780729| lrm: 0.784593| num_tokens: 8,725
Step 00152/00701 | Training loss: 0.861489| lrm: 0.783167| num_tokens: 11,089
Step 00153/00701 | Training loss: 0.639376| lrm: 0.781740| num_tokens: 14,182
Step 00154/00701 | Training loss: 0.421294| lrm: 0.780314| num_tokens: 9,020
Step 00155/00701 | Training loss: 0.493460| lrm: 0.778887| num_tokens: 9,869
Step 00156/00701 | Training loss: 0.769833| lrm: 0.777461| num_tokens: 7,305
Step 00157/00701 | Training loss: 0.724690| lrm: 0.776034| num_tokens: 16,837
Step 00158/00701 | Training loss: 0.388184| lrm: 0.774608| num_tokens: 9,674
Step 00159/00701 | Training loss: 0.472026| lrm: 0.773181| num_tokens: 7,815
Step 00160/00701 | Training loss: 0.934271| lrm: 0.771755| num_tokens: 8,827
Step 00161/00701 | Training loss: 0.713041| lrm: 0.770328| num_tokens: 6,078
Step 00162/00701 | Training loss: 0.762265| lrm: 0.768902| num_tokens: 12,614
Step 00163/00701 | Training loss: 0.965620| lrm: 0.767475| num_tokens: 8,642
Step 00164/00701 | Training loss: 0.527537| lrm: 0.766049| num_tokens: 10,446
Step 00165/00701 | Training loss: 0.309202| lrm: 0.764622| num_tokens: 11,629
Step 00166/00701 | Training loss: 0.826532| lrm: 0.763195| num_tokens: 11,805
Step 00167/00701 | Training loss: 0.724818| lrm: 0.761769| num_tokens: 12,521
Step 00168/00701 | Training loss: 0.640260| lrm: 0.760342| num_tokens: 10,685
Step 00169/00701 | Training loss: 0.516270| lrm: 0.758916| num_tokens: 7,975
Step 00170/00701 | Training loss: 0.668462| lrm: 0.757489| num_tokens: 12,674
Step 00171/00701 | Training loss: 0.463269| lrm: 0.756063| num_tokens: 8,519
Step 00172/00701 | Training loss: 0.575599| lrm: 0.754636| num_tokens: 10,573
Step 00173/00701 | Training loss: 0.571729| lrm: 0.753210| num_tokens: 11,616
Step 00174/00701 | Training loss: 0.818436| lrm: 0.751783| num_tokens: 12,576
Step 00175/00701 | Training loss: 0.740733| lrm: 0.750357| num_tokens: 13,499
Step 00176/00701 | Training loss: 0.481243| lrm: 0.748930| num_tokens: 13,955
Step 00177/00701 | Training loss: 1.023409| lrm: 0.747504| num_tokens: 8,450
Step 00178/00701 | Training loss: 0.493217| lrm: 0.746077| num_tokens: 10,116
Step 00179/00701 | Training loss: 0.902471| lrm: 0.744650| num_tokens: 11,378
Step 00180/00701 | Training loss: 0.392506| lrm: 0.743224| num_tokens: 8,662
Step 00181/00701 | Training loss: 0.451104| lrm: 0.741797| num_tokens: 10,813
Step 00182/00701 | Training loss: 0.386739| lrm: 0.740371| num_tokens: 9,754
Step 00183/00701 | Training loss: 0.718970| lrm: 0.738944| num_tokens: 9,181
Step 00184/00701 | Training loss: 0.555858| lrm: 0.737518| num_tokens: 11,880
Step 00185/00701 | Training loss: 0.779567| lrm: 0.736091| num_tokens: 9,966
Step 00186/00701 | Training loss: 0.867234| lrm: 0.734665| num_tokens: 12,893
Step 00187/00701 | Training loss: 0.579400| lrm: 0.733238| num_tokens: 15,448
Step 00188/00701 | Training loss: 0.667884| lrm: 0.731812| num_tokens: 10,568
Step 00189/00701 | Training loss: 0.195775| lrm: 0.730385| num_tokens: 8,279
Step 00190/00701 | Training loss: 0.728171| lrm: 0.728959| num_tokens: 10,969
Step 00191/00701 | Training loss: 0.666785| lrm: 0.727532| num_tokens: 12,417
Step 00192/00701 | Training loss: 0.749913| lrm: 0.726106| num_tokens: 11,004
Step 00193/00701 | Training loss: 0.935838| lrm: 0.724679| num_tokens: 12,676
Step 00194/00701 | Training loss: 0.561135| lrm: 0.723252| num_tokens: 11,245
Step 00195/00701 | Training loss: 0.620850| lrm: 0.721826| num_tokens: 12,289
Step 00196/00701 | Training loss: 0.565862| lrm: 0.720399| num_tokens: 12,501
Step 00197/00701 | Training loss: 0.352398| lrm: 0.718973| num_tokens: 10,050
Step 00198/00701 | Training loss: 1.024213| lrm: 0.717546| num_tokens: 12,994
Step 00199/00701 | Training loss: 0.460693| lrm: 0.716120| num_tokens: 8,922
Step 00200 | Validation loss: 0.801521
Final: 410/1024 (40.04%)
Final: 400/570 (70.18%)
Step 00200 | mmlu_acc: 0.400391, arc_easy_acc: 0.701754
Step 00200/00701 | Training loss: 0.653739| lrm: 0.714693| num_tokens: 9,440
Step 00201/00701 | Training loss: 0.638369| lrm: 0.713267| num_tokens: 9,643
Step 00202/00701 | Training loss: 0.862583| lrm: 0.711840| num_tokens: 10,901
Step 00203/00701 | Training loss: 0.549880| lrm: 0.710414| num_tokens: 13,807
Step 00204/00701 | Training loss: 0.791708| lrm: 0.708987| num_tokens: 10,563
Step 00205/00701 | Training loss: 0.664582| lrm: 0.707561| num_tokens: 11,205
Step 00206/00701 | Training loss: 1.096743| lrm: 0.706134| num_tokens: 10,684
Step 00207/00701 | Training loss: 0.498752| lrm: 0.704708| num_tokens: 9,403
Step 00208/00701 | Training loss: 0.637192| lrm: 0.703281| num_tokens: 10,858
Step 00209/00701 | Training loss: 0.677578| lrm: 0.701854| num_tokens: 13,334
Step 00210/00701 | Training loss: 0.757477| lrm: 0.700428| num_tokens: 9,714
Step 00211/00701 | Training loss: 0.864387| lrm: 0.699001| num_tokens: 11,816
Step 00212/00701 | Training loss: 0.659707| lrm: 0.697575| num_tokens: 9,039
Step 00213/00701 | Training loss: 0.526195| lrm: 0.696148| num_tokens: 13,283
Step 00214/00701 | Training loss: 0.469802| lrm: 0.694722| num_tokens: 7,439
Step 00215/00701 | Training loss: 0.789171| lrm: 0.693295| num_tokens: 12,998
Step 00216/00701 | Training loss: 0.743867| lrm: 0.691869| num_tokens: 5,895
Step 00217/00701 | Training loss: 0.978305| lrm: 0.690442| num_tokens: 10,032
Step 00218/00701 | Training loss: 0.666577| lrm: 0.689016| num_tokens: 15,726
Step 00219/00701 | Training loss: 0.963608| lrm: 0.687589| num_tokens: 12,353
Step 00220/00701 | Training loss: 0.571761| lrm: 0.686163| num_tokens: 12,212
Step 00221/00701 | Training loss: 0.376570| lrm: 0.684736| num_tokens: 8,406
Step 00222/00701 | Training loss: 0.698827| lrm: 0.683310| num_tokens: 12,544
Step 00223/00701 | Training loss: 0.822297| lrm: 0.681883| num_tokens: 10,457
Step 00224/00701 | Training loss: 0.838259| lrm: 0.680456| num_tokens: 11,565
Step 00225/00701 | Training loss: 0.548999| lrm: 0.679030| num_tokens: 16,013
Step 00226/00701 | Training loss: 0.610505| lrm: 0.677603| num_tokens: 11,760
Step 00227/00701 | Training loss: 0.784591| lrm: 0.676177| num_tokens: 10,449
Step 00228/00701 | Training loss: 0.474747| lrm: 0.674750| num_tokens: 9,069
Step 00229/00701 | Training loss: 0.677853| lrm: 0.673324| num_tokens: 15,774
Step 00230/00701 | Training loss: 0.665943| lrm: 0.671897| num_tokens: 10,999
Step 00231/00701 | Training loss: 0.870985| lrm: 0.670471| num_tokens: 7,649
Step 00232/00701 | Training loss: 0.160847| lrm: 0.669044| num_tokens: 13,775
Step 00233/00701 | Training loss: 0.822165| lrm: 0.667618| num_tokens: 10,403
Step 00234/00701 | Training loss: 0.582248| lrm: 0.666191| num_tokens: 9,951
Step 00235/00701 | Training loss: 0.579611| lrm: 0.664765| num_tokens: 8,922
Step 00236/00701 | Training loss: 0.462333| lrm: 0.663338| num_tokens: 9,954
Step 00237/00701 | Training loss: 0.511807| lrm: 0.661912| num_tokens: 6,118
Step 00238/00701 | Training loss: 0.715136| lrm: 0.660485| num_tokens: 15,364
Step 00239/00701 | Training loss: 0.730765| lrm: 0.659058| num_tokens: 10,791
Step 00240/00701 | Training loss: 0.319264| lrm: 0.657632| num_tokens: 13,784
Step 00241/00701 | Training loss: 0.350992| lrm: 0.656205| num_tokens: 12,648
Step 00242/00701 | Training loss: 0.870052| lrm: 0.654779| num_tokens: 8,548
Step 00243/00701 | Training loss: 0.680624| lrm: 0.653352| num_tokens: 10,775
Step 00244/00701 | Training loss: 0.916721| lrm: 0.651926| num_tokens: 11,321
Step 00245/00701 | Training loss: 0.898496| lrm: 0.650499| num_tokens: 14,500
Step 00246/00701 | Training loss: 0.434766| lrm: 0.649073| num_tokens: 9,928
Step 00247/00701 | Training loss: 0.294292| lrm: 0.647646| num_tokens: 9,820
Step 00248/00701 | Training loss: 0.694202| lrm: 0.646220| num_tokens: 14,648
Step 00249/00701 | Training loss: 0.834129| lrm: 0.644793| num_tokens: 12,353
Step 00250/00701 | Training loss: 0.437915| lrm: 0.643367| num_tokens: 10,111
Step 00251/00701 | Training loss: 0.887474| lrm: 0.641940| num_tokens: 9,723
Step 00252/00701 | Training loss: 0.732791| lrm: 0.640514| num_tokens: 13,470
Step 00253/00701 | Training loss: 0.658651| lrm: 0.639087| num_tokens: 8,697
Step 00254/00701 | Training loss: 0.753637| lrm: 0.637660| num_tokens: 10,005
Step 00255/00701 | Training loss: 0.234044| lrm: 0.636234| num_tokens: 9,406
Step 00256/00701 | Training loss: 0.663994| lrm: 0.634807| num_tokens: 16,524
Step 00257/00701 | Training loss: 0.629444| lrm: 0.633381| num_tokens: 10,533
Step 00258/00701 | Training loss: 0.573985| lrm: 0.631954| num_tokens: 14,366
Step 00259/00701 | Training loss: 0.689693| lrm: 0.630528| num_tokens: 10,793
Step 00260/00701 | Training loss: 0.642471| lrm: 0.629101| num_tokens: 9,875
Step 00261/00701 | Training loss: 0.783415| lrm: 0.627675| num_tokens: 9,230
Step 00262/00701 | Training loss: 0.807046| lrm: 0.626248| num_tokens: 7,452
Step 00263/00701 | Training loss: 0.787288| lrm: 0.624822| num_tokens: 11,783
Step 00264/00701 | Training loss: 0.404335| lrm: 0.623395| num_tokens: 9,665
Step 00265/00701 | Training loss: 0.792673| lrm: 0.621969| num_tokens: 9,502
Step 00266/00701 | Training loss: 1.067547| lrm: 0.620542| num_tokens: 13,734
Step 00267/00701 | Training loss: 0.591969| lrm: 0.619116| num_tokens: 13,450
Step 00268/00701 | Training loss: 0.772576| lrm: 0.617689| num_tokens: 14,942
Step 00269/00701 | Training loss: 0.363730| lrm: 0.616262| num_tokens: 8,918
Step 00270/00701 | Training loss: 0.310721| lrm: 0.614836| num_tokens: 13,811
Step 00271/00701 | Training loss: 1.026305| lrm: 0.613409| num_tokens: 7,419
Step 00272/00701 | Training loss: 0.776614| lrm: 0.611983| num_tokens: 9,250
Step 00273/00701 | Training loss: 0.783950| lrm: 0.610556| num_tokens: 8,725
Step 00274/00701 | Training loss: 0.669959| lrm: 0.609130| num_tokens: 14,207
Step 00275/00701 | Training loss: 0.834995| lrm: 0.607703| num_tokens: 12,263
Step 00276/00701 | Training loss: 0.598181| lrm: 0.606277| num_tokens: 11,752
Step 00277/00701 | Training loss: 0.634589| lrm: 0.604850| num_tokens: 12,410
Step 00278/00701 | Training loss: 0.793521| lrm: 0.603424| num_tokens: 12,400
Step 00279/00701 | Training loss: 0.452058| lrm: 0.601997| num_tokens: 9,813
Step 00280/00701 | Training loss: 0.491893| lrm: 0.600571| num_tokens: 8,658
Step 00281/00701 | Training loss: 0.446493| lrm: 0.599144| num_tokens: 10,995
Step 00282/00701 | Training loss: 0.563347| lrm: 0.597718| num_tokens: 12,312
Step 00283/00701 | Training loss: 0.438849| lrm: 0.596291| num_tokens: 11,610
Step 00284/00701 | Training loss: 0.625154| lrm: 0.594864| num_tokens: 13,601
Step 00285/00701 | Training loss: 0.189336| lrm: 0.593438| num_tokens: 10,879
Step 00286/00701 | Training loss: 0.583846| lrm: 0.592011| num_tokens: 10,792
Step 00287/00701 | Training loss: 0.376244| lrm: 0.590585| num_tokens: 16,421
Step 00288/00701 | Training loss: 0.504632| lrm: 0.589158| num_tokens: 10,023
Step 00289/00701 | Training loss: 0.558860| lrm: 0.587732| num_tokens: 13,373
Step 00290/00701 | Training loss: 0.538424| lrm: 0.586305| num_tokens: 8,400
