Using Master Port: 41834
Autodetected device type: cuda
Calculated number of steps: 467
Scaling the LR for the AdamW parameters ∝1/√(1664/768) = 0.679366
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([32768, 1664]), sliced=True
AdamW: 1 param of shape torch.Size([26]), sliced=False
AdamW: 1 param of shape torch.Size([26]), sliced=False
Muon: 13 params of shape torch.Size([13, 32]), chunk_size=7
Muon: 104 params of shape torch.Size([1664, 1664]), chunk_size=52
Muon: 26 params of shape torch.Size([1664, 6656]), chunk_size=13
Muon: 26 params of shape torch.Size([6656, 1664]), chunk_size=13
Total sequences per step: 256
Calculated examples per rank: 8
Step 0 | Pass@1: 0.1275, Pass@2: 0.1650, Pass@3: 0.2150, Pass@4: 0.2625, Pass@5: 0.2950, Pass@6: 0.3025, Pass@7: 0.3150, Pass@8: 0.3350
Step 0/467 | Example step 0 | Pass 0 | loss: -0.000877 | Average reward: 0.625
Step 6/467 | Example step 5 | Pass 0 | loss: -0.009942 | Average reward: 0.5
Step 6/467 | Example step 5 | Pass 1 | loss: -0.001056 | Average reward: 0.625
Step 6/467 | Example step 6 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 6/467 | Example step 6 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 6/467 | Example step 7 | Pass 0 | loss: 0.007515 | Average reward: 0.125
Step 6/467 | Example step 7 | Pass 1 | loss: -0.001576 | Average reward: 0.0
Step 6/467 | Average reward: 0.13671875 | Average sequence length: 190.43
Step 7/467 | Example step 0 | Pass 0 | loss: -0.003383 | Average reward: 0.0
Step 7/467 | Example step 0 | Pass 1 | loss: 0.001133 | Average reward: 0.25
Step 7/467 | Example step 1 | Pass 0 | loss: 0.001163 | Average reward: 0.125
Step 7/467 | Example step 1 | Pass 1 | loss: -0.002060 | Average reward: 0.125
Step 7/467 | Example step 2 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 7/467 | Example step 2 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 7/467 | Example step 3 | Pass 0 | loss: 0.004472 | Average reward: 0.25
Step 7/467 | Example step 3 | Pass 1 | loss: -0.005375 | Average reward: 0.0
Step 7/467 | Example step 4 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 7/467 | Example step 4 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 7/467 | Example step 5 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 7/467 | Example step 5 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 7/467 | Example step 6 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 7/467 | Example step 6 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 7/467 | Example step 7 | Pass 0 | loss: -0.007235 | Average reward: 0.625
Step 7/467 | Example step 7 | Pass 1 | loss: 0.004875 | Average reward: 0.875
Step 7/467 | Average reward: 0.10546875 | Average sequence length: 194.87
Step 8/467 | Example step 0 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 8/467 | Example step 0 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 8/467 | Example step 1 | Pass 0 | loss: -0.000724 | Average reward: 0.375
Step 8/467 | Example step 1 | Pass 1 | loss: -0.002651 | Average reward: 0.125
Step 8/467 | Example step 2 | Pass 0 | loss: 0.001528 | Average reward: 1.0
Step 8/467 | Example step 2 | Pass 1 | loss: -0.003540 | Average reward: 0.75
Step 8/467 | Example step 3 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 8/467 | Example step 3 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 8/467 | Example step 4 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 8/467 | Example step 4 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 8/467 | Example step 5 | Pass 0 | loss: 0.001348 | Average reward: 0.125
Step 8/467 | Example step 5 | Pass 1 | loss: -0.003001 | Average reward: 0.0
Step 8/467 | Example step 6 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 8/467 | Example step 6 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 8/467 | Example step 7 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 8/467 | Example step 7 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 8/467 | Average reward: 0.1171875 | Average sequence length: 182.45
Step 9/467 | Example step 0 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 9/467 | Example step 0 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 9/467 | Example step 1 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 9/467 | Example step 1 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 9/467 | Example step 2 | Pass 0 | loss: 0.002103 | Average reward: 0.25
Step 9/467 | Example step 2 | Pass 1 | loss: -0.004088 | Average reward: 0.0
Step 9/467 | Example step 3 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 9/467 | Example step 3 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 9/467 | Example step 4 | Pass 0 | loss: 0.002736 | Average reward: 0.125
Step 9/467 | Example step 4 | Pass 1 | loss: -0.003857 | Average reward: 0.125
Step 9/467 | Example step 5 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 9/467 | Example step 5 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 9/467 | Example step 6 | Pass 0 | loss: 0.003023 | Average reward: 0.125
Step 9/467 | Example step 6 | Pass 1 | loss: -0.001804 | Average reward: 0.0
Step 9/467 | Example step 7 | Pass 0 | loss: -0.006725 | Average reward: 0.125
Step 9/467 | Example step 7 | Pass 1 | loss: -0.000879 | Average reward: 0.25
Step 9/467 | Average reward: 0.08984375 | Average sequence length: 152.81
Step 10/467 | Example step 0 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 10/467 | Example step 0 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 10/467 | Example step 1 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 10/467 | Example step 1 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 10/467 | Example step 2 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 10/467 | Example step 2 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 10/467 | Example step 3 | Pass 0 | loss: -0.002215 | Average reward: 0.0
Step 10/467 | Example step 3 | Pass 1 | loss: 0.000228 | Average reward: 0.125
Step 10/467 | Example step 4 | Pass 0 | loss: 0.001407 | Average reward: 0.125
Step 10/467 | Example step 4 | Pass 1 | loss: -0.002041 | Average reward: 0.0
Step 10/467 | Example step 5 | Pass 0 | loss: -0.000109 | Average reward: 0.375
Step 10/467 | Example step 5 | Pass 1 | loss: -0.001268 | Average reward: 0.5
Step 10/467 | Example step 6 | Pass 0 | loss: -0.001517 | Average reward: 0.25
Step 10/467 | Example step 6 | Pass 1 | loss: 0.000653 | Average reward: 0.25
Step 10/467 | Example step 7 | Pass 0 | loss: -0.002461 | Average reward: 0.125
Step 10/467 | Example step 7 | Pass 1 | loss: 0.001965 | Average reward: 0.375
Step 10/467 | Average reward: 0.08203125 | Average sequence length: 192.70
Step 11/467 | Example step 0 | Pass 0 | loss: -0.000110 | Average reward: 0.125
Step 11/467 | Example step 0 | Pass 1 | loss: -0.001858 | Average reward: 0.0
Step 11/467 | Example step 1 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 11/467 | Example step 1 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 11/467 | Example step 2 | Pass 0 | loss: 0.003622 | Average reward: 0.375
Step 11/467 | Example step 2 | Pass 1 | loss: -0.004097 | Average reward: 0.125
Step 11/467 | Example step 3 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 11/467 | Example step 3 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 11/467 | Example step 4 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 11/467 | Example step 4 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 11/467 | Example step 5 | Pass 0 | loss: 0.002826 | Average reward: 0.125
Step 11/467 | Example step 5 | Pass 1 | loss: -0.001876 | Average reward: 0.0
Step 11/467 | Example step 6 | Pass 0 | loss: -0.010317 | Average reward: 0.375
Step 11/467 | Example step 6 | Pass 1 | loss: -0.003951 | Average reward: 0.625
Step 11/467 | Example step 7 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 11/467 | Example step 7 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 11/467 | Average reward: 0.078125 | Average sequence length: 181.01
Step 12/467 | Example step 0 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 12/467 | Example step 0 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 12/467 | Example step 1 | Pass 0 | loss: 0.000762 | Average reward: 0.125
Step 12/467 | Example step 1 | Pass 1 | loss: -0.001749 | Average reward: 0.0
Step 12/467 | Example step 2 | Pass 0 | loss: 0.001402 | Average reward: 0.375
Step 12/467 | Example step 2 | Pass 1 | loss: -0.002278 | Average reward: 0.25
Step 12/467 | Example step 3 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 12/467 | Example step 3 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 12/467 | Example step 4 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 12/467 | Example step 4 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 12/467 | Example step 5 | Pass 0 | loss: -0.002625 | Average reward: 0.625
Step 12/467 | Example step 5 | Pass 1 | loss: -0.002842 | Average reward: 0.5
Step 12/467 | Example step 6 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 12/467 | Example step 6 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 12/467 | Example step 7 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 12/467 | Example step 7 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 12/467 | Average reward: 0.10546875 | Average sequence length: 174.38
Step 13/467 | Example step 0 | Pass 0 | loss: 0.003222 | Average reward: 0.25
Step 13/467 | Example step 0 | Pass 1 | loss: -0.001917 | Average reward: 0.125
Step 13/467 | Example step 1 | Pass 0 | loss: -0.000203 | Average reward: 0.125
Step 13/467 | Example step 1 | Pass 1 | loss: -0.001652 | Average reward: 0.0
Step 13/467 | Example step 2 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 13/467 | Example step 2 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 13/467 | Example step 3 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 13/467 | Example step 3 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 13/467 | Example step 4 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 13/467 | Example step 4 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 13/467 | Example step 5 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 13/467 | Example step 5 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 13/467 | Example step 6 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 13/467 | Example step 6 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 13/467 | Example step 7 | Pass 0 | loss: 0.008516 | Average reward: 0.375
Step 13/467 | Example step 7 | Pass 1 | loss: -0.005704 | Average reward: 0.0
Step 13/467 | Average reward: 0.10546875 | Average sequence length: 161.32
Step 14/467 | Example step 0 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 14/467 | Example step 0 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 14/467 | Example step 1 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 14/467 | Example step 1 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 14/467 | Example step 2 | Pass 0 | loss: -0.001793 | Average reward: 0.125
Step 14/467 | Example step 2 | Pass 1 | loss: 0.000550 | Average reward: 0.25
Step 14/467 | Example step 3 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 14/467 | Example step 3 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 14/467 | Example step 4 | Pass 0 | loss: 0.002827 | Average reward: 0.125
Step 14/467 | Example step 4 | Pass 1 | loss: -0.002721 | Average reward: 0.0
Step 14/467 | Example step 5 | Pass 0 | loss: 0.010103 | Average reward: 0.25
Step 14/467 | Example step 5 | Pass 1 | loss: -0.003367 | Average reward: 0.0
Step 14/467 | Example step 6 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 14/467 | Example step 6 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 14/467 | Example step 7 | Pass 0 | loss: 0.001250 | Average reward: 0.125
Step 14/467 | Example step 7 | Pass 1 | loss: -0.002831 | Average reward: 0.0
Step 14/467 | Average reward: 0.0625 | Average sequence length: 202.83
Step 15/467 | Example step 0 | Pass 0 | loss: -0.004560 | Average reward: 0.375
Step 15/467 | Example step 0 | Pass 1 | loss: 0.000112 | Average reward: 0.625
Step 15/467 | Example step 1 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 15/467 | Example step 1 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 15/467 | Example step 2 | Pass 0 | loss: -0.001896 | Average reward: 0.0
Step 15/467 | Example step 2 | Pass 1 | loss: 0.001349 | Average reward: 0.125
Step 15/467 | Example step 3 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 15/467 | Example step 3 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 15/467 | Example step 4 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 15/467 | Example step 4 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 15/467 | Example step 5 | Pass 0 | loss: -0.003320 | Average reward: 0.0
Step 15/467 | Example step 5 | Pass 1 | loss: -0.000266 | Average reward: 0.125
Step 15/467 | Example step 6 | Pass 0 | loss: 0.011785 | Average reward: 0.5
Step 15/467 | Example step 6 | Pass 1 | loss: -0.009769 | Average reward: 0.0
Step 15/467 | Example step 7 | Pass 0 | loss: -0.002298 | Average reward: 0.125
Step 15/467 | Example step 7 | Pass 1 | loss: -0.000594 | Average reward: 0.25
Step 15/467 | Average reward: 0.13671875 | Average sequence length: 179.68
Step 16/467 | Example step 0 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 16/467 | Example step 0 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 16/467 | Example step 1 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 16/467 | Example step 1 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 16/467 | Example step 2 | Pass 0 | loss: -0.001384 | Average reward: 0.125
Step 16/467 | Example step 2 | Pass 1 | loss: -0.002489 | Average reward: 0.0
Step 16/467 | Example step 3 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 16/467 | Example step 3 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 16/467 | Example step 4 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 16/467 | Example step 4 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 16/467 | Example step 5 | Pass 0 | loss: 0.003377 | Average reward: 0.375
Step 16/467 | Example step 5 | Pass 1 | loss: -0.004604 | Average reward: 0.25
Step 16/467 | Example step 6 | Pass 0 | loss: -0.000803 | Average reward: 0.375
Step 16/467 | Example step 6 | Pass 1 | loss: -0.001801 | Average reward: 0.625
Step 16/467 | Example step 7 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 16/467 | Example step 7 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 16/467 | Average reward: 0.08984375 | Average sequence length: 172.87
Step 17/467 | Example step 0 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 17/467 | Example step 0 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 17/467 | Example step 1 | Pass 0 | loss: -0.000000 | Average reward: 0.0
Step 17/467 | Example step 1 | Pass 1 | loss: -0.000000 | Average reward: 0.0
Step 17/467 | Example step 2 | Pass 0 | loss: -0.001902 | Average reward: 0.0
Step 17/467 | Example step 2 | Pass 1 | loss: 0.000747 | Average reward: 0.125
